"* Required Fields","* Required Fields"
"A new password was sent","একটি নতুন পাসওয়ার্ড পাঠানো হয়েছে"
"Account Dashboard","অ্যাকাউন্ট ড্যাশবোর্ড"
"Account Information","অ্যাকাউন্ট সংক্রান্ত তথ্য"
"Account information was successfully saved","একাউন্টের তথ্য সফলভাবে সংরক্ষিত হয়েছে"
"Account Sharing Options","অ্যাকাউন্ট শেয়ার করার বিকল্পগুলো"
"Action","কাজ"
"Add New Address","নতুন ঠিকানা যুক্ত করুন"
"Add New Customer","নতুন গ্রাহক যুক্ত করুন"
"Add New Customer Group","নতুন গ্রাহক গ্রুপ যোগ করুন"
"Added From","যেখান থেকে যোগ করা হয়েছে"
"Additional Address Entries","অতিরিক্ত ঠিকানা ভুক্তি"
"Address","ঠিকানা"
"Address Book","ঠিকানা বই"
"Newsletter Subscriptions","নিউজলেটার সদস্যতা"
"My Advertisements","আমার বিজ্ঞাপন"
"My Messages","আমার বার্তা"
"Messages","বার্তা"
"Sender","প্রেরক"
"date/time","তারিখ সময়"
"Actions","ক্রিয়াকলাপ"
"YOU HAVE NO MESSAGES","আপনার কোনও বার্তা নেই"
"Address Information","ঠিকানা সংক্রান্ত তথ্য"
"Addresses","ঠিকানাগুলি"
"Admin","অ্যাডমিন"
"All","সব"
"VIEW ALL","সব দেখ "
"Profile","অ্যাকাউন্ট"
"Username","ইউজার নাম"
"Short Profile","সংক্ষিপ্ত জীবনী"
"Avatar","অবতার"
"Choose File","ফাইল পছন্দ কর"
"No file choosen","কোনো ফাইল পছন্দ করা হইনি"
"Save Profile","প্রোফাইল সংরক্ষণ"
"All countries","সকল দেশ"
"All Store Views","সকল দোকান দর্শন"
"Always optional","সর্বদা ঐচ্ছিক"
"Amount","পরিমাণ"
"Approved","অনুমোদিত"
"Are you sure that you want to remove this item?","আপনি কি নিশ্চিত যে আপনি এই আইটেমটি অপসারণ করতে চান?"
"Are you sure you want to cancel adding of this address?","আপনি কি নিশ্চিতরূপে এই ঠিকানা যোগ করা বাতিল করতে চান?"
"Are you sure you want to delete this address?","আপনি কি নিশ্চিতরূপে এই ঠিকানা মুছে ফেলতে চান?"
"Are you sure?","আপনি কি নিশ্চিত?"
"Array of Entity collections is expected","Array of Entity collections is expected"
"Assign a customer group","একটি গ্রাহক দল নিযুক্ত করুন"
"Average Sale","গড় বিক্রয়"
"Back","পূর্বের পৃষ্ঠা"
"Back to Login","লগ ইন এ ফিরে যান"
"Bad request.","খারাপ অনুরোধ."
"Bill to Name","যে নামে বিল করা হবে"
"Billing Information","বিলিং তথ্য"
"Bought From","যেখান থেকে কেনা"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","আমাদের স্টোরের সঙ্গে একটি একাউন্ট তৈরি করে,আপনি দ্রুত চেকআউট করতে,একাধিক শিপিং ঠিকানাগুলি সংরক্ষণ,আপনার সকল অর্ডার গুলি দেখতে এবং ট্র্যাক করতে ও আরো অনেক কিছু করতে সক্ষম হবেন।"
"Cancel","বাতিল"
"Can't save address",ঠিকানা সংরক্ষন করা যাচ্ছেনা"
"Can't save customer","গ্রাহক সংরক্ষন করা যাচ্ছেনা"
"Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","গ্রাহকের অ্যাকাউন্ট বিশ্বব্যাপী শেয়ার করা যাবে না. কারণ কিছু গ্রাহকের অ্যাকাউন্ট একই ইমেল দিয়ে একাধিক ওয়েবসাইটে বিদ্যমান এবং একিভূত করা যাবে না. "
"Change Account Password","অ্যাকাউন্টের পাসওয়ার্ড পরিবর্তন করুন"
"Change Billing Address","বিল প্রদানের ঠিকানা পরিবর্তন করুন"
"Change Password","পাসওয়ার্ড পরিবর্তন করুন"
"Change Shipping Address","শিপিং ঠিকানা পরিবর্তন করুন"
"City","শহর"
"Company","কোম্পানি"
"Config","কনফিগ"
"Confirm New Password","নতুন পাসওয়ার্ড নিশ্চিত করুন"
"Confirm Password","পাসওয়ার্ড নিশ্চিত করুন"
"Confirmation Link Email","নিশ্চিতকরণ ইমেইল লিঙ্ক"
"Confirmed","নিশ্চিত করা হয়েছে"
"Contact Information","যোগাযোগের তথ্য"
"Continue Shopping","কেনাকাটা চালিয়ে যান"
"Country","দেশ"
"Create","তৈরী করুন"
"Create an Account","অ্যাকাউন্ট তৈরি করুন"
"Create customer","গ্রাহক তৈরি করুন"
"Create customer address","গ্রাহকের ঠিকানা তৈরি করুন"
"Create New Account Options","নতুন অ্যাকাউন্টের বিকল্পসমূহ তৈরি করুন"
"Create New Customer Account","নতুন গ্রাহক একাউন্ট তৈরি করুন"
"Create Order","অর্ডার তৈরি করুন"
"CSV","সিএসভি"
"Current Password","বর্তমান পাসওয়ার্ড"
"Customer","গ্রাহক"
"Customer Addresses","গ্রাহক ঠিকানা"
"Customer Api","গ্রাহক এপিআই"
"Customer collection expected","গ্রাহক সংগ্রহ প্রত্যাশিত"
"Customer Configuration","গ্রাহক কনফিগারেশন"
"Customer doesn't have primary billing address","গ্রাহকের প্রাথমিক বিলিং ঠিকানা নেই"
"Customer email already exists","গ্রাহক ইমেল ইতিমধ্যেই বিদ্যমান"
"Customer Group","গ্রাহক গোষ্ঠী"
"Customer Group was successfully deleted","গ্রাহক গোষ্ঠী সফলভাবে মুছে ফেলা হয়েছে"
"Customer Group was successfully saved","গ্রাহক গোষ্ঠী সফলভাবে সংরক্ষিত হয়েছে"
"Customer Groups","গ্রাহক গোষ্ঠীসমূহ"
"Customer Information","গ্রাহক তথ্য"
"Customer Login","গ্রাহক লগইন"
"Customer Since","যখন থেকে গ্রাহক"
"Customer View","গ্রাহক যেভাবে দেখবেন"
"Customer website id must be specified, when using website scope.","ওয়েবসাইট গ্রাহক আইডি নির্দিষ্ট করা আবশ্যক, যখন ওয়েবসাইট পরিধি ব্যবহার করে."
"Customers","গ্রাহকরা"
"Customers Only","শুধুমাত্র গ্রাহকদের জন্য"
"Customers Section","গ্রাহকের শাখা"
"Date","তারিখ"
"Date Added","তারিখ সংযুক্ত হয়েছে"
"Date of Birth","জন্ম তারিখ"
"Date of Birth is required.","জন্ম তারিখ আবশ্যক."
"Day","দিন"
"Days in Wishlist","পছন্দ তালিকার দিনগুলি"
"DD","ডিডি"
"Default Addresses","প্রাথমিক ঠিকানাগুলি"
"Default Billing Address","প্রাথমিক বিল প্রদানের ঠিকানা"
"Default Email Domain","প্রাথমিক ইমেইল ডোমেন"
"Default Group","প্রাথমিক গোষ্ঠী"
"Default Shipping Address","প্রাথমিক শিপিং ঠিকানা"
"Default Welcome Email","প্রাথমিক স্বাগত ইমেইল"
"Delete","মুছুন"
"Delete Address","ঠিকানা মুছুন"
"Delete Customer","গ্রাহক মুছুন"
"Delete customer","গ্রাহক মুছুন"
"Delete customer address","গ্রাহকের ঠিকানা মুছুন"
"Delete Customer Group","গ্রাহক গোষ্ঠী মুছুন"
"Deleted Stores","মুছে দেওয়া দোকানসমূহ"
"Details","বিস্তারিত"
"Disabled","নিস্ক্রিয় করা হয়েছে"
"Edit","সম্পাদনা"
"Edit Account Info","অ্যাকাউন্ট তথ্য সম্পাদনা করুন"
"Edit Account Information","অ্যাকাউন্ট তথ্য সম্পাদনা করুন"
"Edit Address","ঠিকানা সম্পাদনা করুন"
"Edit Address Entry","ঠিকানা এন্ট্রি সম্পাদনা করুন"
"Edit Customer Group ""%s""","গ্রাহক গ্রুপ সম্পাদনা করুন""%s"""
"Edit Customer Groups","গ্রাহক গোষ্ঠীসমূহ সম্পাদনা করুন"
"Edit Customer's Address","গ্রাহকের ঠিকানা সম্পাদনা করুন"
"Edit Group","গোষ্ঠী সম্পাদনা করুন"
"Edit Newsletter Subscription","নিউজলেটার সদস্যতা সম্পাদনা করুন"
"Edit Newsletters","নিউজ লেটার সম্পাদনা করুন"
"Edit Personal Information","ব্যক্তিগত তথ্য সম্পাদনা করুন করুন"
"Email","ইমেইল"
"Email Address","ইমেইল ঠিকানা"
"Email Sender","ইমেইল প্রেরক"
"Entity collection is expected","Entity collection is expected"
"Error during retrieval of option value: %s","বিকল্প মানগুলো খোঁজার সময় ভুল হয়েছে: %s"
"Ext. Price","Ext. Price"
"Failed to confirm customer account.","গ্রাহকের অ্যাকাউন্ট নিশ্চিত করতে ব্যর্থ হয়েছে."
"Fax","ফ্যাক্স"
"First Name","নামের প্রথমাংশ"
"First name can't be empty","নামের প্রথমাংশ খালি রাখা যাবে না"
"Forgot Email Sender","ইমেইল প্রেরক ভুলে গেছেন"
"Forgot Email Template","ইমেইল টেমপ্লেট ভুলে গেছেন"
"Forgot Your Password?","আপনার পাসওয়ার্ড ভুলে গেছেন?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","আপনার অ্যাকাউন্ট ড্যাশবোর্ড থেকে আপনার সাম্প্রতিক অ্যাকাউন্ট পরিচালনার একটি ছবি দেখতে পাবেন এবং আপনার অ্যাকাউন্টের তথ্য হালনাগাদ করার ক্ষমতা থাকবে।তথ্য দেখতে ও সম্পাদনা করতে নীচের লিঙ্কটি নির্বাচন করুন।"
"General Subscription","সাধারণ সদস্যতা"
"Global","বিশ্বব্যাপী"
"Go to Address Book","ঠিকানা বই দেখুন"
"Grand Total","সর্বমোট"
"Grand Total: %s","সর্বমোট: %s"
"Group","গ্রুপ"
"Group ""%s"" can not be deleted","গ্রুপ ""%s"" মুছে ফেলা যাবে না"
"Group Information","গ্রুপের তথ্য"
"Group Name","গ্রুপের নাম"
"Guest","অতিথি"
"Hello, %s!","হ্যালো, %s!"
"HTML","এইচটিএমএল"
"ID","আইডি"
"If you have an account with us, please log in.","আপনার যদি আমাদের সাথে একটি একাউন্ট থাকে, অনুগ্রহ করে লগইন করুন।"
"Invalid attribute option specified for attribute %s (%s), skipping the record","এট্রিবিউট %s (%s) এর জন্য অননুমোদিত বিকল্প নির্ধারন করা হয়েছে, তথ্যটি বাতিল করা হচ্ছে"
"Invalid attribute set specified, skipping the record","অননুমোদিত এট্রিবিউট সেট নির্ধারন করা হয়েছে, তথ্যটি বাতিল করা হচ্ছে"
"Invalid current password","বর্তমান পাসওয়ার্ডটি অগ্রহনযোগ্য"
"Invalid customer data","গ্রাহক তথ্য অগ্রহনযোগ্য"
"Invalid email address","ইমেল ঠিকানা অগ্রহনযোগ্য"
"Invalid email address ""%s""","ইমেল ঠিকানা অগ্রহনযোগ্য ""%s"""
"Invalid login or password.","লগইন অথবা পাসওয়ার্ড ইমেল ঠিকানা অগ্রহনযোগ্য।"
"Invalid option id specified for %s (%s), skipping the record","বিকল্প আইডিটি অননুমোদিত %s (%s), তথ্যটি বাতিল করা হচ্ছে"
"Invalid store specified, skipping the record","উল্লেখিত স্টোরটি অননুমোদিত, তথ্যটি বাতিল করা হচ্ছে"
"IP Address","আইপি ঠিকানা"
"Items Order","আইটেম অর্ডার"
"Last 5 Orders","সর্বশেষ ৫টি অর্ডার"
"Last Activity","সর্বশেষ কার্যক্রম"
"Last date subscribed","সর্বশেষ সদস্যতার তারিখ"
"Last date unsubscribed","সর্বশেষ সদস্যতামুক্ত তারিখ"
